id,priority,category,platform,rule,anti_pattern,why,source,applies_to,check
NAV-12,9,navigation,all,Manager and owner areas behind a PIN with a visible locked icon,Hidden admin,Clarity,foundry,"nav,pin-pad",review
NAV-13,9,navigation,all,Branch switcher only for owner roles and only when more than one branch,Switcher for all,Noise,foundry,nav,review
NAV-14,9,navigation,all,Escape and Back always cancel the current sheet without side effects,Back saves partial edits,Predictability,foundry,"dialog,bottom-sheet",review
CHT-11,10,charts-data,all,"Hourly sales chart marks service periods (breakfast, lunch, dinner)",Unmarked hours,Context,foundry,chart-card,review
CHT-12,10,charts-data,all,"Payment mix as stacked bar with labels, never a pie",Pie of tenders,Comparability,foundry,chart-card,review
CHT-13,10,charts-data,all,Voids and discounts charted against sales as a percentage,Absolute voids only,Insight,foundry,chart-card,review
CHT-14,10,charts-data,all,P&L deltas use blue/orange in colour-blind mode,Red/green only,Colour-blind,foundry,"kpi-tile,chart",auto
OPS-27,4,operational-ui,all,Order entry keeps the ticket visible while browsing categories,Ticket hidden behind menu,Confidence,foundry,order-card,review
OPS-28,4,operational-ui,all,Seat and course tags visible on every ticket line,Untagged lines,Service accuracy,foundry,order-card,review
OPS-29,4,operational-ui,all,Delivery inbox plays a distinct sound and shows platform logo and ETA,Silent platform orders,Missed orders,foundry,order-card,review
OPS-30,4,operational-ui,all,End-of-day checklist blocks with links to each unresolved item,Generic failure,Actionability,foundry,list,review
OPS-31,4,operational-ui,all,Receipt reprint and void receipts clearly stamped,Identical reprints,Audit,foundry,receipt-preview,auto
OPS-32,4,operational-ui,all,Reservation timeline scrolls horizontally with now-line and 15-minute grid,List-only bookings,Floor planning,foundry,data-table,review
OPS-33,4,operational-ui,all,Inventory low-stock badge on the item tile and the inventory list,Only in reports,Timeliness,foundry,"order-card,badge",review
OPS-34,4,operational-ui,all,Staff PIN entry never echoes digits; shows count only,Visible PIN,Security,foundry,pin-pad,auto
RTL-13,1,rtl-i18n,all,Floor canvas and seat numbers never mirror; labels do,Mirrored floor plan,Physical mapping,foundry,floor-canvas,auto
RTL-14,1,rtl-i18n,all,"Receipt currency symbol position per locale (AED before, د.إ after)",Wrong symbol side,Trust,foundry,receipt-preview,review
RTL-15,1,rtl-i18n,all,"Item names entered in both languages; fallback shows the other language, never blank",Blank Arabic names,Completeness,foundry,"order-card,input",auto
RTL-16,1,rtl-i18n,all,"Urdu digits and Arabic-Indic digits are a branch setting, default Western",Mixed digit systems,Consistency,foundry,text,auto
PRT-11,5,print,all,"Receipt totals block: subtotal, discounts, service charge, tax lines, total, tenders, change",Missing tax line,Compliance,foundry,receipt-preview,review
PRT-13,5,print,all,Barcode or QR on receipts encodes receipt number for refund lookup,No lookup code,Speed,foundry,receipt-preview,review
PRT-14,5,print,all,Paper-low warning at 20% with reorder link,Runs out mid-service,Continuity,foundry,banner-offline,review
